Date,Open,High,Low,Close,Adj Close,Volume
2019-09-05,113.959999,115.440002,113.260002,114.599998,113.944649,4045900
2019-09-06,114.779999,114.989998,113.839996,114.050003,113.397797,2904700
2019-09-09,114.519997,114.519997,110.349998,111.070000,110.434837,4982300
2019-09-10,108.370003,111.129997,106.400002,111.099998,110.464661,6589500
2019-09-11,111.779999,112.000000,110.290001,111.690002,111.051292,3404100
2019-09-12,111.919998,112.419998,111.120003,111.470001,110.832550,3578500
2019-09-13,111.739998,112.150002,110.239998,110.889999,110.255867,2842600
2019-09-16,110.419998,110.529999,109.209999,110.129997,109.500206,1728900
2019-09-17,110.330002,111.190002,109.629997,111.120003,110.484550,2438100
2019-09-18,111.440002,112.910004,111.169998,112.720001,112.075401,3132500
2019-09-19,112.860001,115.110001,112.389999,114.349998,113.696075,3929800
2019-09-20,115.930000,117.230003,114.470001,116.160004,115.495735,7517700
2019-09-23,116.000000,116.540001,113.970001,114.180000,113.527054,2611300
2019-09-24,114.360001,114.550003,111.940002,113.250000,112.602371,3480200
2019-09-25,112.879997,113.849998,111.309998,111.389999,110.753006,3093400
2019-09-26,112.040001,112.660004,110.690002,111.820000,111.180550,2266400
2019-09-27,112.349998,113.370003,111.379997,112.370003,111.727402,1906300
2019-09-30,112.400002,113.449997,111.690002,111.830002,111.190491,2516600
2019-10-01,111.940002,112.449997,110.410004,110.959999,110.325462,2203400
2019-10-02,110.330002,110.639999,106.660004,107.000000,106.388107,4483900
2019-10-03,107.089996,108.099998,106.209999,107.290001,106.676453,2735000
2019-10-04,107.489998,108.260002,107.000000,108.199997,107.581245,2865300
2019-10-07,108.309998,108.650002,107.570000,107.830002,107.213364,1460800
2019-10-08,106.889999,108.330002,105.949997,107.190002,106.577026,2802500
2019-10-09,107.559998,108.150002,106.879997,107.300003,106.686401,1636600
2019-10-10,107.029999,107.489998,106.580002,106.919998,106.308563,2736900
2019-10-11,107.750000,109.139999,107.589996,108.360001,107.740334,2554900
2019-10-14,108.519997,109.129997,107.879997,107.900002,107.282967,1341300
2019-10-15,108.349998,110.099998,108.220001,109.699997,109.072670,1760000
2019-10-16,109.180000,109.480003,107.790001,107.949997,107.332672,2314600
2019-10-17,109.220001,109.459999,108.260002,108.459999,107.839760,2018900
2019-10-18,108.309998,108.940002,107.900002,108.639999,108.018730,2207100
2019-10-21,108.870003,109.000000,107.769997,107.910004,107.292908,3944900
2019-10-22,109.980003,111.459999,108.889999,109.839996,109.211868,5708500
2019-10-23,106.000000,107.750000,101.360001,107.400002,106.785828,9047500
2019-10-24,107.500000,108.209999,106.250000,107.839996,107.223305,3304500
2019-10-25,108.080002,110.589996,107.540001,110.199997,109.569809,4234600
2019-10-28,110.620003,113.190002,110.620003,112.989998,112.343857,4168500
2019-10-29,112.500000,112.809998,111.500000,111.669998,111.031403,2987700
2019-10-30,111.370003,113.209999,111.260002,112.720001,112.075401,2424600
2019-10-31,112.360001,114.669998,112.000000,113.949997,113.298363,4124300
2019-11-01,114.070000,114.510002,112.309998,112.510002,111.866600,2629100
2019-11-04,113.239998,114.330002,112.870003,113.110001,112.463173,3002100
2019-11-05,112.949997,113.080002,110.510002,111.250000,110.613808,3357300
2019-11-06,111.570000,114.290001,111.510002,113.820000,113.169113,3973700
2019-11-07,114.230003,114.629997,112.029999,112.769997,112.125114,3076200
2019-11-08,112.650002,113.570000,112.099998,113.529999,112.880768,2224100
2019-11-11,113.459999,114.209999,112.220001,112.800003,112.154945,1770200
2019-11-12,112.769997,114.040001,112.449997,113.169998,112.522827,2273200
2019-11-13,112.870003,113.529999,112.250000,112.790001,112.145004,3250600
2019-11-14,112.190002,112.360001,111.000000,111.389999,111.389999,2627100
2019-11-15,111.330002,113.820000,111.330002,113.190002,113.190002,4857400
2019-11-18,113.019997,114.129997,112.860001,114.070000,114.070000,3361600
2019-11-19,114.029999,116.120003,113.750000,115.099998,115.099998,3781600
2019-11-20,114.959999,115.919998,114.050003,114.610001,114.610001,3638200
2019-11-21,114.699997,115.519997,113.290001,114.750000,114.750000,2909500
2019-11-22,115.089996,116.680000,114.709999,116.199997,116.199997,3120100
2019-11-25,116.599998,118.459999,116.599998,117.470001,117.470001,2939300
2019-11-26,117.470001,118.110001,117.000000,117.089996,117.089996,4704900
2019-11-27,117.730003,117.900002,116.620003,117.440002,117.440002,1798200
2019-11-29,117.230003,118.040001,117.169998,117.349998,117.349998,1243900
2019-12-02,117.519997,118.250000,116.099998,116.739998,116.739998,2199700
2019-12-03,116.400002,117.919998,115.919998,117.610001,117.610001,2786000
2019-12-04,118.279999,118.839996,117.570000,118.669998,118.669998,2597000
2019-12-05,118.400002,119.919998,117.540001,119.769997,119.769997,3003200
2019-12-06,119.970001,120.709999,119.580002,119.639999,119.639999,2462800
2019-12-09,119.529999,120.839996,118.940002,120.239998,120.239998,2335100
2019-12-10,120.559998,121.150002,120.110001,120.650002,120.650002,3592600
2019-12-11,120.559998,121.199997,119.980003,120.779999,120.779999,3438100
2019-12-12,120.559998,121.930000,120.559998,121.699997,121.699997,2959400
2019-12-13,121.980003,122.190002,120.720001,121.529999,121.529999,3343900
2019-12-16,123.070000,124.260002,122.059998,122.849998,122.849998,3468400
2019-12-17,124.000000,127.029999,123.309998,125.330002,125.330002,6718800
2019-12-18,127.879997,129.979996,127.690002,129.479996,129.479996,8173000
2019-12-19,129.080002,130.990005,128.339996,130.850006,130.850006,4423400
2019-12-20,132.490005,137.000000,131.240005,132.429993,132.429993,9229900
2019-12-23,132.389999,132.580002,131.029999,131.149994,131.149994,2473400
2019-12-24,131.070007,131.210007,130.130005,131.110001,131.110001,1215800
2019-12-26,131.000000,131.699997,130.660004,131.139999,131.139999,1272000
2019-12-27,131.570007,131.770004,130.839996,131.520004,131.520004,2161300
2019-12-30,131.520004,131.929993,130.869995,131.300003,131.300003,1856200
2019-12-31,131.179993,131.520004,130.500000,131.429993,131.429993,1549800
2020-01-02,131.770004,132.259995,130.729996,132.210007,132.210007,2204200
2020-01-03,130.300003,132.470001,130.229996,131.770004,131.770004,1963500
2020-01-06,131.419998,132.559998,130.940002,132.259995,132.259995,2102900
2020-01-07,131.699997,132.929993,131.699997,132.509995,132.509995,2448300
2020-01-08,132.460007,134.210007,132.009995,133.710007,133.710007,5188600
2020-01-09,134.550003,136.360001,134.009995,135.919998,135.919998,4522800
2020-01-10,135.779999,138.270004,135.529999,138.000000,138.000000,4177600
2020-01-13,138.199997,139.990005,137.889999,138.940002,138.940002,5117100
2020-01-14,138.990005,140.899994,138.119995,140.649994,140.649994,4685200
2020-01-15,140.580002,141.690002,140.009995,141.110001,141.110001,3676500
2020-01-16,141.830002,141.970001,139.850006,141.429993,141.429993,3794800
2020-01-17,140.880005,141.740005,139.360001,139.580002,139.580002,5393200
2020-01-21,139.500000,141.570007,138.429993,140.910004,140.910004,4849500
