Date,Open,High,Low,Close,Adj Close,Volume
2019-09-05,138.800003,138.800003,135.550003,135.979996,135.034180,4994600
2019-09-06,136.929993,137.419998,136.020004,137.369995,136.414505,3051600
2019-09-09,136.399994,136.679993,135.429993,136.399994,135.451248,4062100
2019-09-10,135.740005,136.509995,134.679993,135.860001,134.915024,4175000
2019-09-11,135.270004,136.789993,134.880005,136.360001,135.411545,5005100
2019-09-12,136.740005,138.289993,136.740005,137.289993,136.335068,4146900
2019-09-13,136.080002,136.949997,135.679993,136.440002,135.490982,4008200
2019-09-16,136.389999,136.500000,134.380005,134.880005,133.941833,2953600
2019-09-17,134.960007,136.309998,134.509995,135.699997,134.756134,4013300
2019-09-18,135.809998,136.000000,134.100006,135.500000,134.557526,2647800
2019-09-19,135.410004,135.839996,135.080002,135.479996,134.537659,2804500
2019-09-20,135.000000,135.759995,134.479996,134.710007,133.773026,6671100
2019-09-23,134.960007,135.750000,134.960007,135.440002,134.497940,3346500
2019-09-24,136.250000,136.449997,134.580002,135.360001,134.418503,4798500
2019-09-25,135.210007,135.660004,134.509995,135.089996,134.150375,3579500
2019-09-26,135.869995,136.330002,135.009995,135.720001,134.775986,4309600
2019-09-27,136.240005,136.240005,134.669998,135.600006,134.656830,3559400
2019-09-30,136.070007,137.729996,135.869995,137.100006,136.146393,3705200
2019-10-01,136.929993,137.940002,136.089996,137.369995,136.414505,3638900
2019-10-02,136.889999,137.380005,133.490005,133.940002,133.008377,5728600
2019-10-03,138.440002,139.750000,136.500000,137.929993,136.970612,8829700
2019-10-04,137.839996,140.449997,137.619995,140.279999,139.304276,5278700
2019-10-07,139.289993,139.610001,137.970001,138.339996,137.377762,4273300
2019-10-08,137.649994,138.449997,137.080002,137.240005,136.285431,4074900
2019-10-09,137.320007,138.169998,136.830002,137.850006,136.891174,3065300
2019-10-10,137.110001,138.250000,136.639999,137.889999,136.930893,2191000
2019-10-11,138.080002,138.699997,137.089996,137.639999,136.682632,2761400
2019-10-14,137.839996,138.300003,137.240005,137.449997,136.493958,2371500
2019-10-15,137.479996,137.949997,136.160004,136.330002,135.381744,3369300
2019-10-16,136.139999,136.490005,135.580002,136.419998,135.471115,2812000
2019-10-17,137.070007,137.619995,136.600006,136.960007,136.007370,2322500
2019-10-18,137.270004,137.369995,136.229996,136.250000,135.302307,3630400
2019-10-21,136.339996,136.740005,135.660004,136.119995,135.173203,2829400
2019-10-22,136.649994,137.350006,136.309998,136.660004,135.709457,3248100
2019-10-23,136.610001,137.500000,136.610001,137.449997,136.493958,2323600
2019-10-24,137.699997,138.110001,136.789993,137.889999,136.930893,2292500
2019-10-25,137.779999,137.919998,136.229996,136.639999,135.689590,2520000
2019-10-28,136.550003,137.550003,136.149994,136.570007,135.620087,3212600
2019-10-29,136.830002,137.119995,135.940002,136.080002,135.133484,2550100
2019-10-30,135.860001,137.289993,135.410004,136.899994,135.947784,2653400
2019-10-31,136.800003,137.529999,136.100006,137.169998,136.215897,4492300
2019-11-01,137.550003,138.339996,136.699997,136.929993,135.977570,3054900
2019-11-04,136.800003,137.100006,134.729996,135.160004,134.219894,3202400
2019-11-05,134.830002,135.100006,132.600006,134.009995,133.077881,4300800
2019-11-06,134.500000,134.880005,133.550003,134.440002,133.504898,3645600
2019-11-07,134.410004,134.500000,133.119995,133.320007,132.392685,3338700
2019-11-08,133.289993,134.130005,132.570007,133.130005,132.204010,2604000
2019-11-11,133.029999,133.029999,131.970001,132.389999,131.469147,2227200
2019-11-12,132.679993,132.679993,131.589996,131.979996,131.061996,3246500
2019-11-13,132.630005,133.570007,132.009995,133.289993,132.362885,3166600
2019-11-14,133.600006,133.910004,132.729996,133.330002,132.402618,2141900
2019-11-15,133.660004,133.919998,132.800003,133.809998,132.879272,3648700
2019-11-18,134.000000,135.690002,133.910004,134.059998,133.127533,3619700
2019-11-19,134.649994,135.059998,134.070007,134.570007,133.634003,3019100
2019-11-20,134.309998,135.199997,133.399994,133.740005,132.809769,3047700
2019-11-21,133.429993,134.210007,133.089996,133.910004,132.978577,3391200
2019-11-22,133.919998,134.529999,133.020004,134.070007,133.137482,3014900
2019-11-25,134.660004,134.779999,133.210007,133.830002,132.899139,3612400
2019-11-26,134.289993,135.869995,133.869995,135.699997,134.756134,4947400
2019-11-27,135.699997,136.520004,135.330002,135.910004,134.964676,2476100
2019-11-29,136.059998,136.419998,135.259995,135.830002,134.885223,2978400
2019-12-02,136.649994,136.649994,134.440002,135.880005,134.934875,3866300
2019-12-03,136.660004,136.660004,134.320007,135.460007,134.517807,5000000
2019-12-04,134.949997,137.369995,134.539993,137.300003,136.345001,4228200
2019-12-05,136.190002,136.539993,135.270004,136.339996,136.339996,3351800
2019-12-06,136.669998,137.690002,136.339996,137.360001,137.360001,3216900
2019-12-09,137.149994,138.039993,137.000000,137.160004,137.160004,3882900
2019-12-10,137.610001,137.610001,136.169998,136.270004,136.270004,2940200
2019-12-11,137.050003,137.539993,136.320007,137.100006,137.100006,3339100
2019-12-12,136.800003,137.899994,136.750000,137.179993,137.179993,3502100
2019-12-13,136.929993,138.250000,136.190002,137.940002,137.940002,3557900
2019-12-16,136.949997,137.520004,136.160004,137.059998,137.059998,4701000
2019-12-17,137.050003,137.440002,135.690002,136.169998,136.169998,5491800
2019-12-18,137.050003,137.300003,135.630005,135.970001,135.970001,5370500
2019-12-19,136.220001,136.740005,135.949997,136.470001,136.470001,3641700
2019-12-20,137.410004,138.130005,135.160004,137.919998,137.919998,10311300
2019-12-23,137.690002,138.130005,136.839996,137.039993,137.039993,2992900
2019-12-24,137.089996,137.380005,136.270004,136.889999,136.889999,1220600
2019-12-26,136.860001,137.339996,136.100006,136.690002,136.690002,2934700
2019-12-27,136.880005,137.580002,136.630005,137.539993,137.539993,2554000
2019-12-30,136.699997,137.970001,136.479996,136.809998,136.809998,3024700
2019-12-31,136.690002,137.259995,136.029999,136.669998,136.669998,3229400
2020-01-02,136.869995,137.229996,135.139999,135.820007,135.820007,3784100
2020-01-03,135.460007,136.789993,135.130005,135.630005,135.630005,4000100
2020-01-06,135.300003,136.320007,135.199997,136.149994,136.149994,4085100
2020-01-07,136.000000,136.070007,133.949997,134.009995,134.009995,5718100
2020-01-08,134.460007,135.360001,134.070007,134.699997,134.699997,3681400
2020-01-09,135.289993,135.380005,134.529999,134.789993,134.789993,3954700
2020-01-10,135.169998,135.419998,134.389999,134.529999,134.529999,3099500
2020-01-13,134.649994,136.589996,134.630005,136.529999,136.529999,5127200
2020-01-14,136.179993,136.940002,135.699997,136.850006,136.850006,4159700
2020-01-15,137.039993,139.250000,136.800003,139.199997,139.199997,5002600
2020-01-16,139.350006,140.160004,138.600006,139.610001,139.610001,4977900
2020-01-17,140.100006,141.320007,139.899994,141.259995,141.259995,6908700
2020-01-21,140.610001,142.119995,140.339996,141.860001,141.860001,4440000
